"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.446875010E-3,1.312778851E-1,4.590789342E-1,1.160379946E-1
1.743787501E-2,-2.742452314E-1,4.267876858E-1,9.158669293E-2
2.742987502E-2,-5.292393824E-1,4.756025809E-1,5.415574193E-2
3.742187499E-2,-6.211941576E-1,4.933962429E-1,-4.846172333E-2
4.741387500E-2,-5.245189252E-1,4.884553456E-1,9.192992449E-2
5.740587501E-2,-3.803865212E-1,5.032868081E-1,2.659167498E-1
6.739687501E-2,-4.250887772E-1,4.174713171E-1,2.755213863E-1
7.738887501E-2,-5.771845043E-1,2.966590708E-1,2.744607013E-1
8.738087502E-2,-8.587454796E-1,4.706441420E-1,2.954206306E-1
9.737287500E-2,-1.131045342E0,7.958966821E-1,2.931402165E-1
1.073648750E-1,-1.204060109E0,1.013834104E0,2.780959153E-1
1.173558750E-1,-1.121004650E0,1.119885639E0,1.191019356E-1
1.273478750E-1,-8.553061473E-1,1.121411762E0,-1.845509899E-1
1.373398750E-1,-6.880393808E-1,9.524804395E-1,-2.288939345E-1
1.473318750E-1,-6.057044448E-1,8.395967254E-1,-3.262921751E-1
1.573238750E-1,-6.436410338E-1,7.856441742E-1,-4.548660153E-1
1.673158750E-1,-7.340522902E-1,7.355923006E-1,-4.964864963E-1
1.773068750E-1,-6.779378041E-1,7.916320154E-1,-6.262531686E-1
1.872988750E-1,-6.854090108E-1,9.944909298E-1,-7.158243263E-1
1.972908750E-1,-7.400186428E-1,1.138171929E0,-1.129076877E0
2.072828750E-1,-4.607457926E-1,1.052961040E0,-1.906980507E0
2.172748750E-1,-1.684284987E-2,6.829018709E-1,-2.144178658E0
2.272658750E-1,1.734459031E-1,3.077082619E-1,-1.630780259E0
2.372578750E-1,1.919690600E-1,1.770229921E-1,-1.089559640E0
2.472498750E-1,4.305166744E-1,-6.175682992E-2,-5.066325849E-1
2.572418750E-1,1.079664397E0,2.608340576E-2,1.721221483E-1
2.672338750E-1,3.992231072E-1,6.265364662E-2,8.078863978E-2
2.772258750E-1,-3.627475912E-1,2.267341192E-1,1.842983902E-1
2.872168750E-1,-8.518375059E-1,4.289751291E-2,-1.346613765E-2
2.972088750E-1,-8.815809032E-1,-1.913112482E-1,3.922896981E-3
3.072008750E-1,-5.375132657E-1,2.048748882E-1,-6.404455304E-2
3.171928750E-1,-3.884414993E-2,9.786633211E-1,3.206858647E-1
3.271848750E-1,1.242873049E0,8.385258809E-1,1.418697655E0
3.371758750E-1,2.099405358E0,7.397563221E-1,1.276019745E0
3.471672500E-1,1.978396060E0,1.232193256E-1,1.529114721E0
3.571592500E-1,4.157856379E-1,9.070814878E-2,9.959790462E-1
3.671512500E-1,-6.676486780E-1,3.594838947E-1,9.785432339E-1
3.771432500E-1,-1.420226117E0,4.366963774E-1,1.524394848E0
3.871342500E-1,-1.576553766E0,5.223001262E-1,1.499516115E0
3.971262500E-1,-1.210521575E0,6.234715019E-1,1.246294255E0
4.071182500E-1,-3.745542160E-1,6.755182263E-1,1.347573878E0
4.171102500E-1,3.980806343E-1,7.543875906E-1,1.477537016E0
4.271022500E-1,1.008084391E0,9.616542824E-1,1.359522663E0
4.370932500E-1,1.144120740E0,1.436843319E0,8.192867142E-1
4.470852500E-1,1.159168111E0,2.530703293E0,-3.217599982E-1
4.570772500E-1,9.078077120E-1,3.028920566E0,-1.225933666E0
4.670692500E-1,3.392076512E-1,3.048922428E0,-1.979435111E0
4.770612500E-1,-2.204093322E-1,2.931503906E0,-2.596602876E0
4.870522500E-1,-9.681661803E-1,2.152142273E0,-2.221889908E0
4.970442500E-1,-1.784644038E0,1.016524189E0,-1.531703283E0
5.070362500E-1,-2.245425974E0,2.355004842E-1,-1.504414912E0
5.170282500E-1,-2.478473917E0,-3.658773865E-1,-1.457409146E0
5.270202500E-1,-2.573485616E0,-7.788157958E-1,-1.487131128E0
5.370122500E-1,-2.465135541E0,-1.342618362E0,-1.397652941E0
5.470032500E-1,-2.154144213E0,-2.644654417E0,-8.675215656E-1
5.569952500E-1,-1.857659097E0,-2.448547428E0,-4.212819475E-1
5.669872500E-1,-1.366730233E0,8.888719426E-1,-2.404000854E-1
5.769792500E-1,-9.254705425E-1,2.179486777E0,2.466396493E-1
5.869712500E-1,-1.210897112E0,9.260866197E-1,1.755094403E-1
5.969622500E-1,-1.233125449E0,-5.425536387E-2,-2.214726484E-1
6.069542500E-1,-7.146411422E-1,3.154252709E-1,-3.613789773E-1
6.169462500E-1,-3.438104331E-1,1.106505309E0,-4.046980745E-1
6.269382500E-1,-8.788094692E-1,9.725438444E-1,-4.369448841E-1
6.369302500E-1,-1.523218096E0,4.470500422E-1,-5.453288734E-1
6.469212500E-1,-1.369140455E0,4.347244039E-1,-2.023896754E-2
6.569132500E-1,-8.898946206E-1,5.501341152E-1,9.313304758E-1
6.669052500E-1,-4.953312327E-1,2.914974412E-1,1.630093796E0
6.768972500E-1,-1.038901117E-1,4.605804992E-1,1.356797276E0
6.868892500E-1,7.657484382E-2,9.070013809E-1,2.021984714E-1
6.968812500E-1,-3.168591544E-2,9.607074720E-1,-7.533079022E-1
7.068722500E-1,-5.849934608E-1,1.191166706E0,9.170773029E-2
7.168642500E-1,-9.935686778E-1,1.271282624E0,1.437596440E-1
7.268562500E-1,-7.512055358E-1,9.172840020E-1,-2.250423735E-1
7.368482500E-1,-2.896336412E-1,8.103942686E-1,-5.036616147E-2
7.468402500E-1,-8.481327832E-2,1.436184045E0,1.330264950E-1
7.568312500E-1,1.648169294E-1,2.120575787E0,1.189672158E0
7.668232500E-1,-4.339316677E-1,1.964261001E-1,8.805795676E-1
7.768152500E-1,-6.480587514E-1,-2.147945434E-1,3.932837248E-3
7.868072500E-1,-4.209205896E-1,2.207607499E-1,-9.461613536E-2
7.967992500E-1,3.334507750E-1,7.616770220E-1,6.720093852E-1
8.067902500E-1,4.050667414E-1,6.853723195E-1,1.263787955E0
8.167822500E-1,8.509906098E-2,3.963921046E-1,4.119462830E-1
8.267742500E-1,-2.263568276E-1,-1.674320966E-1,1.081939548E-1
8.367662500E-1,-7.172142094E-1,-6.167029113E-1,1.657516068E-1
8.467582500E-1,-1.072780616E0,-3.057588002E-1,3.542453742E-1
8.567502500E-1,-1.221463323E0,3.886600390E-1,7.514800626E-1
8.667412500E-1,-1.014013175E0,9.644225004E-1,8.940375191E-1
8.767332500E-1,-7.496649407E-1,1.113218351E0,7.697186977E-1
8.867252500E-1,-6.932203062E-1,9.894868827E-1,7.591136026E-1
8.967172500E-1,-1.174839526E0,6.490377215E-1,7.873123848E-1
9.067092500E-1,-1.076446382E0,3.395615539E-1,6.098090440E-1
9.167002500E-1,-4.325922898E-1,2.433017662E-1,3.488852316E-1
9.266922500E-1,-2.410491995E-1,2.847632030E-1,3.883340567E-1
9.366842500E-1,-1.976855904E-1,3.231852570E-1,3.693031240E-1
9.466762500E-1,-2.613831843E-1,3.318329966E-1,2.209054685E-1
9.566682500E-1,2.402925698E-1,3.484311953E-1,3.527829856E-1
9.666602500E-1,5.238451798E-1,4.051895329E-1,5.653795606E-1
9.766512500E-1,2.516776103E-1,2.763171923E-1,2.533300334E-1
9.866432500E-1,2.673507795E-1,1.140025789E-1,-2.202646136E-3
9.966352500E-1,5.211673743E-1,-5.111869812E-2,-1.259314835E-1
1.006627250E0,9.018025484E-1,-1.402331883E-1,-1.511628038E-1
1.016619250E0,6.021224405E-1,-1.510996538E-1,-2.618716460E-1
1.026610250E0,5.516088561E-1,-1.700458020E-1,-5.222464049E-1
1.036602250E0,7.581662806E-1,-3.721507180E-1,-6.627865720E-1
1.046594250E0,7.972712164E-1,-5.049538493E-1,-8.447823286E-1
1.056586250E0,8.076152332E-1,-4.962871063E-1,-1.044177645E0
1.066578250E0,6.441004787E-1,-5.382856098E-1,-9.235519248E-1
1.076569250E0,4.132778036E-1,-5.682464504E-1,-1.046646339E0
1.086561250E0,4.600993830E-1,-6.828746814E-1,-1.076515086E0
1.096553250E0,4.168452995E-1,-8.519083303E-1,-1.071191196E0
1.106545250E0,3.967967685E-1,-9.044397157E-1,-1.138837050E0
1.116537250E0,4.841251535E-1,-8.465730384E-1,-1.138057031E0
1.126529250E0,5.469409508E-1,-8.630984393E-1,-1.132386986E0
1.136520250E0,5.489292964E-1,-8.284425768E-1,-1.148326496E0
1.146512250E0,5.014850983E-1,-8.050031358E-1,-1.064662195E0
1.156504250E0,4.407981626E-1,-7.104954663E-1,-9.857668841E-1
1.166496250E0,4.286698314E-1,-5.410794094E-1,-9.379202878E-1
1.176488250E0,4.378936313E-1,-4.128105015E-1,-8.447905147E-1
1.186479250E0,4.498206357E-1,-3.271616560E-1,-8.167624712E-1
1.196471250E0,4.338281354E-1,-1.878090584E-1,-8.421773940E-1
1.206463250E0,4.059991165E-1,-3.807502180E-2,-9.174737442E-1
1.216455250E0,3.689202775E-1,4.347346365E-2,-9.031504047E-1
1.226447250E0,3.786069942E-1,2.177272144E-1,-8.188043189E-1
1.236438250E0,3.559027309E-1,3.970920163E-1,-7.558888632E-1
1.246430250E0,3.639537987E-1,4.517801473E-1,-7.970795739E-1
1.256422250E0,4.055681401E-1,4.682999933E-1,-7.699192572E-1
1.266414250E0,3.925604242E-1,5.414989471E-1,-7.414526725E-1
1.276406250E0,2.714287008E-1,6.232895073E-1,-7.193332404E-1
1.286398250E0,1.844109125E-1,6.737702742E-1,-7.260411662E-1
1.296389250E0,1.475802147E-1,7.263841054E-1,-6.653792274E-1
1.306381250E0,5.499324594E-2,7.356972581E-1,-6.204474682E-1
1.316373250E0,-1.403594881E-2,7.659601074E-1,-6.393298817E-1
1.326365250E0,-5.064090751E-2,7.345111504E-1,-5.977316201E-1
1.336357250E0,-4.043554276E-2,7.527588487E-1,-5.537161195E-1
1.346348500E0,2.889620885E-2,7.455983484E-1,-4.957503319E-1
1.356340500E0,4.674118012E-2,7.442260069E-1,-4.407473284E-1
1.366332500E0,7.731923092E-2,7.951192948E-1,-3.979229057E-1
1.376324500E0,1.714732901E-1,7.590574694E-1,-3.246590477E-1
1.386316500E0,1.743865922E-1,6.931918010E-1,-2.939114642E-1
1.396308500E0,2.208511259E-1,6.990784854E-1,-2.470027614E-1
1.406299500E0,2.092684495E-1,6.853404522E-1,-2.011430490E-1
1.416291500E0,2.036075042E-1,7.039980403E-1,-2.480932671E-1
1.426283500E0,2.441167219E-1,7.902608433E-1,-2.920502955E-1
1.436275500E0,2.793504354E-1,9.105766609E-1,-3.788446105E-1
1.446267500E0,3.705468267E-1,1.039833748E0,-4.396310949E-1
1.456258500E0,4.733455922E-1,1.093389858E0,-4.884547609E-1
1.466250500E0,5.071302561E-1,1.147593840E0,-4.672667903E-1
1.476242500E0,4.852260015E-1,1.207156502E0,-4.946300054E-1
1.486234500E0,5.756783712E-1,1.182582409E0,-5.608567393E-1
1.496226500E0,6.349940251E-1,1.080342674E0,-5.848659915E-1
1.506217500E0,5.847442232E-1,1.074655964E0,-5.643890423E-1
1.516209500E0,5.256126835E-1,1.118648953E0,-4.899978411E-1
1.526201500E0,5.556003117E-1,1.007948881E0,-5.335560894E-1
1.536193500E0,5.884765740E-1,8.890656316E-1,-4.446573615E-1
1.546185500E0,5.308652373E-1,9.579154265E-1,-3.201911902E-1
1.556177500E0,3.206182563E-1,1.125791619E0,-3.950659561E-1
1.566168500E0,2.551475308E-1,1.148232940E0,-3.575782871E-1
1.576160500E0,2.319137290E-1,1.058020928E0,-3.901379228E-1
1.586152500E0,9.819198182E-2,1.110708142E0,-4.110884964E-1
1.596144500E0,-1.395596804E-1,1.002989858E0,-3.075489253E-1
1.606136500E0,-3.066305104E-1,1.075611107E0,-2.415139800E-1
1.616127500E0,-3.153401574E-1,1.248426735E0,-1.835224646E-1
1.626119500E0,-3.754932057E-1,1.235039827E0,-2.217071217E-1
1.636111500E0,-5.449958379E-1,1.348274959E0,-2.660518205E-1
1.646103500E0,-8.391310678E-1,1.561846265E0,-2.262843221E-1
1.656095500E0,-1.056623005E0,1.672037044E0,-8.702352583E-2
1.666087500E0,-1.185392069E0,1.646254039E0,1.348163277E-1
1.676078500E0,-1.081343425E0,1.540431130E0,5.411557156E-1
1.686070500E0,-7.655595001E-1,1.287551039E0,1.067289934E0
1.696062500E0,-5.037482265E-1,8.895413026E-1,1.674294069E0
1.706054500E0,-3.854929677E-1,5.778683361E-1,2.167485659E0
1.716046500E0,-2.753966761E-1,1.962939531E-1,2.471071926E0
1.726037500E0,-2.203479913E-1,-1.770659691E-1,2.581570269E0
1.736029500E0,-2.247690528E-1,-4.638637108E-1,2.528775174E0
1.746021500E0,-2.610492900E-1,-7.294790366E-1,2.427271603E0
1.756013500E0,-2.847399420E-1,-8.807412431E-1,2.223271020E0
1.766005500E0,-3.054664212E-1,-9.041303980E-1,1.855630260E0
1.775996500E0,-2.923927048E-1,-9.119408163E-1,1.378912030E0
1.785988500E0,-3.562563048E-1,-8.071443862E-1,8.955051702E-1
1.795980500E0,-4.564483815E-1,-6.499215281E-1,3.514831495E-1
1.805972500E0,-5.794574266E-1,-5.961648586E-1,-1.146592212E-1
1.815964500E0,-6.817473382E-1,-5.100052589E-1,-4.480072314E-1
1.825956500E0,-7.676397932E-1,-4.242684129E-1,-6.615130484E-1
1.835947500E0,-8.262288210E-1,-3.864737651E-1,-7.492727387E-1
1.845939500E0,-8.753468943E-1,-4.740671021E-1,-6.398736727E-1
1.855931500E0,-8.794387027E-1,-4.308868763E-1,-4.445749158E-1
1.865923500E0,-8.400233529E-1,-5.422371581E-1,-1.132202214E-1
1.875915500E0,-7.490284713E-1,-7.035597914E-1,1.665766490E-1
1.885906500E0,-6.667082264E-1,-8.187829766E-1,3.530309075E-1
1.895898500E0,-6.157132700E-1,-9.278221464E-1,3.948940480E-1
1.905890500E0,-5.857972702E-1,-9.963342646E-1,3.267301315E-1
1.915882500E0,-5.530732547E-1,-1.000704181E0,1.294538462E-1
1.925874500E0,-5.301294748E-1,-1.009988390E0,-1.352145231E-1
1.935866500E0,-5.691018981E-1,-9.668730685E-1,-4.505227035E-1
1.945857500E0,-6.664875671E-1,-8.773089275E-1,-7.583622354E-1
1.955849500E0,-7.284646909E-1,-7.419581643E-1,-1.024348567E0
1.965841500E0,-7.275451431E-1,-6.220039970E-1,-1.240499665E0
1.975833500E0,-7.203918057E-1,-5.415354922E-1,-1.427826328E0
1.985825500E0,-6.875781085E-1,-5.006497139E-1,-1.495772728E0
1.995816500E0,-5.954100927E-1,-4.165924805E-1,-1.457418501E0
2.005808500E0,-4.813205000E-1,-3.513372615E-1,-1.343296639E0
2.015800500E0,-3.421892195E-1,-3.553154147E-1,-1.237650316E0
2.025792500E0,-2.117073414E-1,-3.501274726E-1,-1.137719647E0
2.035784500E0,-1.563777892E-1,-2.968622616E-1,-1.059832395E0
2.045776500E0,-1.249702195E-1,-2.234972468E-1,-1.055898973E0
2.055767500E0,-1.302140756E-1,-1.339611724E-1,-1.062029779E0
2.065759500E0,-8.454772336E-2,-2.582978278E-2,-1.082984446E0
2.075751500E0,-5.970336087E-2,1.146375865E-2,-9.994213021E-1
2.085743500E0,-3.080212707E-3,7.280163556E-2,-8.779085594E-1
